WORD,DEFINITION
"ASA, A.S.A.",Acetyl-Salicylic Acid(= Aspirin)
ASAB,Anti-Sperm Anti-Bodies
ASD,Atrial Septal Defect\n  Types of ASD\n  1. Ostium Primum ASD\n  2. Ostium Secundum ASD; mc\n  3. Sinus Venosus ASD\n  4. Coronary Sinus ASD
ASDC,Association of Sleep Disorders Centers; 미국 수면 질환 센터 협회
ASH,Asymmetric(al) Septal Hypertrophy
AsH3,Arsine
ASIS,Anterior Superior Iliac Spine
ASK,Anti-Strepto-Kinase
ASO,1) Arterio-Sclerosis Obliterans\n  2) Anti-Streptolysin O; - 166
AST,ASpartate Transaminase(aminoTransferase)\n  = SGOT
Astigm.,Astigmatism
ASTZ test,Anti-Strepto-Zyme Test\n  = ASZT
ASZT,Anti-Strepto-Zyme Test\n  = ASTZ
a.t.,acquisition time; 영상회복시간\n  = TR x N x Nex\n  TR; Time to Repeat\n  N; pixel(picture element)의 열의 수\n  Nex; Excitation회수
ATG,Anti-Thymocyte Globulin
ATL,Adult T cell Lymphoma
ATLL,Adult T cell Leukemia/Lymphoma
ATN,Acute Tubular Necrosis
ATP,1) Adenosine Tri-Phosphate\n  2) Autoimmune Thrombocytopenic Purpura
AU,Auris Uterque; Both Ears
198AU,Radioactive Gold(used in interstitial radio theraphy)
AV,1) Azygo(u)s Vein(AV)(= Vena Azygo(u)s); 기정맥(奇靜脈)\n  1) Atrio-Ventricular\n  2) Aortic Valve\n  3) Arterio-Venous; 동정맥의
AV node,Atrio-Ventricular node; 방실 결절\n  0.1 sec Delay
AVF,1) Arterio-Venous Fistula - Arterio-Venous Fistula\n  2) Augmented Voltage Foot
AVH,Acute Viral hepatitis
AVL,Augmented Voltage Left arm
AVM,Arterio-Venous Malformation
AVN,1) Atrio-Ventricular Node\n  2) AVascular Necrosis
AVP,1) Active non apeptide(?)\n  2) Arginine Vaso-Pressin
AVR,"Augmented Voltage Right arm\n  Frank N. Wilson\n  Lead I, II, III와 같은 크기의 EKG를 얻기 위해서는 EKG 기계의 전압을 증강(Augment)시켜야 한다는 것"
AVT,Arginine Vaso-Tocin
AZT,AZidoThymidine\n  = ZDV
BA,Bore Area
Ba,Barium
Ba E,Barium Enema
BAE,Bronchial Artery Embolization
BAER,Brainstem Auditory Evoked Response(Potential)
BAL,1) Brocho-Alveolar Lavage\n  2) British Anti-Lewisite\n    = Dimercaprol
BAN,Basle Anatomic Nomenclature; 바젤 해부학 명명법\n  = BNA
BAO,Basal Acid Output
BAS,Balloon Atrio-Septostomy
BATOs,Boronic Adducts of Technetium Oxine
BBB,1) Bundle Branch Block\n  2) Blood Brain Barrier - Blood Brain Barrier
BBBB,Bilateral Bundle Branch Block
BBT,Basal Body Temperature; 기초체온
BC,Bone Conduction
BCAA,Branched Chain Amino Acid
BCC,Basal Cell Carcinoma
BCG,1) Bacillus(Bacille)-Calmette-Gurin\n  2) Bromo-Cresol Green
bcr,breakpoint cluster region
BCYE-α agar,Buffered Charcoal Yeast Extract agar with α-ketoglutarate
BD,Behcet\u0027s Disease
BDR,Back-ground Diabetic Retinopathy
BE,1) Bacterial Endocarditis\n  2) Base Excess\n  3) Below the Elbow
BEP,"Bleomycin, Etoposide, Cisplatin"
BERA,Brainstem Evoked Response Audiometry
β-ABA,β-Amino-Butyric Acid
β-CCE,β-Carboline-3-Carboxy(lic) acid Ethylester
β-HCG(hCG),Beta(β)-Human Chorionic Gonadotropin; 사람융모성성선자극호르몬
BFUe,erythroid Burst Forming Unit
BGT,Bender-Gestalt Test
BGU,Benign Gastric Ulcer
B-H Contraction,Braxton-Hicks Contraction
BH4,tetra-Hydrobiopterin
BI,Behavior Identity
"BID, bid, b.i.d",Bis In Die; Twice a Day; 하루에 두번
"BIN, bin, b.i.n.",Bis In Nocte; Twice A Night; 하루밤에 두번
BIP,Brochiolar Interstitial Pneumonia
B-J protein,Bence-Jones Protein\n  의의; Multiple Myeloma
BK,Below the Knee
BLS,Basic Life Support
BLV,Biologic Limit Value; 생물학적 허용한계
BM,1) Bone Marrow\n  2) Basement Membrane\n  3) Bench-Mark; 수준 기표
b.m.,bowel movement; 장운동
BMD,Bone Mineral Density
BMR,Basal Metabolic Rate; 기초대사율
BMT,Bone Marrow Transplantation;골수 이식
BMZ,Basement Membrane Zone
BNA,Basle Nomina Anatomica; 바젤 해부학 명명법\n  = BAN
BOD,Biochemical Oxygen Demand; 생물학적 산소 요구량\n  ; 1 L 수중의 유기물을 Bacteria 가 20 ℃에서 5일간 분해하는데 소비하는 산소의 양\n  ; 물의 오염도 측정(ppm단위); 하수 오염의 지표완료\n  1. 제 1단계 BOD(BOD5); 탄소 화합물의 산화 완료까지 소비되는 산소량(7 - 10 일)\n    ; - 20 ppm\n  2. 제 2단계 BOD; 질소 화합물의 산화 완료까지 소비되는 산소량(100 일)
BOW,Back Of Water
BP,1) Blood Pressure; 혈압\n  2) Bullous Pemphigoid\n  3) Benzathin Penicillin\n  4) Broncho-Pulmonary
bp,base pair; 염기쌍
BPD,1) Broncho-Pulmonary Dysplasia; 기관지 폐이형성증\n  2) Bi-Parietal Diameter
BPF,Brocho-Pleural Fistula
BPH,Benign Prostate(Prostatic) Hypertrophy(Hyperplasia); 전립선 비대(증)
BPO,Benzyl-Penicilloyl
BPP,Bio-Physical Profile
BPPV,Benign Paroxysmal Positional Vertigo
BPRS,Brief Psychiatric Rating Scale
BPT,Bronchial Provocation Test; 기관지 유발 시험
BPV,Benign Positional Vertigo
BrDU,5-Bromo-Deoxy-Uridine
BRM,Biologic Response Modifiers; 생물학적 반응 조절제
BS,1) Breath Sounds; 호흡음\n  2) Blood Sugar\n  3) Bile Salts
BSA,Body Surface Area; 체표면적
BSID,Boyley Scales of Infant Development; Boyley 유아 발달 척도
BSO,Bilateral Salping-Oophorectomy
BSP,Bromo-Sul-Phalein
BSS,Bernard-Soulier Syndrome
BST,Blood Sugar Test
BT,1) Bleeding Time\n  2) Body Temperature
BTSS,Biopsy Tissue Scrub Smear
btw,by the way
B-T shunt,Blalock-Taussig shunt
B.T.U.,British Thermal Unit
BUN,Blood Urea Nitrogen; 혈액(중) 요소 질소
BUT,Break-Up Time
BV,1) Blood Volume\n  2) Bacterial Vaginosis
B/W,Black/White
"Bx, bx",Biopsy
BZ Disease,Brill Zinsser Disease
Bz-Ty-PABA test,N-Benzoyl-L-Tyrosyl-p-Amino-Benzoic Acid test\n  = Bentiromide test\n  = Tripeptide Hydrolysis test
C,1) Complement\n  2) Centigrade; 섭씨
C.,"1) Candida\n    C. Albicans\n    C. Guilliermondi\n    C. Krusei\n    C. Parapsilosis\n    C. Tropicalis\n  2) Clostridium\n    C. Botulinum\n    C. Difficile\n    C. Perfringens(= C. Welchii)\n    C. Tetani; 파상풍균\n  3) Clonorchis; 간흡충(속)\n    C. Sinensis; 간흡충, 간디스토마\n  4) Cervical Vertebrae\n    C1; 1st Cervical Vertebrae\n    C2; 2nd Cervical Vertebrae"
; cum,with; ~와 같이
CA-125,Cancer Antigen-125
Ca,1) Carcinoma\n  2) Cancer; 암\n  3) Calcium
CABG,Coronary Artery Bypass Graft
CAF,"Cytoxan, Adriamycin(= Doxorubicin), 5-FU"
CAH,1) Chronic Active Hepatitis\n  2) Congenital Adrenal Hyperplasia
CALLA,Common Acute Lymphocytic(Lymphoblastic) Leukemia Antigen\n  = CD10\n  = Enkephalinase
CAMP,"Cyclophosphamide, Adriamycin(Doxorubicin), Methotrexate, Procarbazine"
cAMP,cyclic Adenosine Mono-Phosphate
cap.,capsula; capsule
CAP,"Cyclophosphamide, Adriamycin(Doxorubicin), cis-Platinum"
CAPD,Continous Ambulatory Peritoneal Dialysis
CARL,Colorado Alliance of Research Libraries
CAT,1) Computerized(= Computed) Axial Tomography\n    = CAT scan\n    = CT\n  2) Children Appenception Test
CAVH,Continous Arterio-Venous Hemodialysis
CAVHD,Continous Arterio-Venous Hemo-Dialysis
"CBC, cbc",Complete Blood Count; 완전 혈구 계산
CBD,Common Bile Duct\n  - Absolute Ix of CBD Exploration\n    1. Palpable Stones\n    2. Jaundice with Cholangitis\n    3. Demonstration of Stones by Cholangiography\n    4. Dilatation of CBD > 12 mm
CBF,Cerebral Blood Flow
CBG,Cortisol-Binding Globulin\n  = Transcortin
cbl,cerebellar\n  = cbll
cbll,cerebellar\n  = cbl
cbr,cerebral
CC,"1) Chief Complaint; 주소(主訴), 주된 호소(불평)\n  2) Closing Capacity\n    CC = CV + RV\n  3) Cord Compression"
cc,cubic centimeter; 1/1000 Liter
CCA,Common Carotid Artery
CCE,Carboline-3-Carboxy(lic) acid Ethylester
CCF,1) Carotid(Carotico-) Cavernous Fistula\n  2) Crystal-induced Chemotactic Factor
CCK,Chole-Cysto-Kinin
CCK-8,Chole-Cysto-Kinin octapeptide
CCK-Pz,CholeCystoKinin-Pancreozymin
CCl4,Phosgene
CCPD,Continous Cycling Peritoneal Dialysis
Ccr,Creatinine Clearance; 80 - 90 ml/min
CCR,Creatine Clearance Rate; 3.0 - 3.5 gm/24 hr
CCT,Cephalic Cholestol Test
CCU,"Coronary(= Cardiac) Care Unit; 관(상)(동맥)질환집중치료(병동)(관상동맥질환집중 治療病棟), 관(상)(동맥)질환감시병실(관상동맥疾患監視病室), 심장병 집중 치료실\n  = Nursing Unit"
CD,Cluster of Differentation
Cd,Cadmium
CDC,1) Cheno-Deoxy-Cholic acid\n    = CDCA\n  2) Center for Disease Control & Prevention
CDCA,Cheno-Deoxy-Cholic Acid\n  = CDC
CDH,1) Chronic Daily Headache\n    = CTH\n    = DCH\n    = DMH\n    = TFM\n  2) Congenital Dislocation of the Hip\n  3) Congenital Diaphragmatic Hernia\n  4) Congenital Heart Disease
CDR,Crude Death Rate; 보통사망률
CE,Cholesterol Ester
CE angle,Center-Edge angle
CEP,Congenital Erythropoetic Porphyria(= Gnther Disease; 선천성 조혈기성 Porphyria
CER,Conditioned Emotional Response; 조건화 감정 반응
CF,1) Cystic Fibrosis\n  2) Complement Fixing antibody\n  3) Conversion Factor
C/F,Clinical Finding
CF test,Complement Fixation test; 보체결합법
CFC,Freon; 오존층파괴
CFCs,Chloro-Fluoro-Carbons
CFS,Chronic Fatigue Syndrome
CFU,Colony Forming Unit
CFUe,erythroid Colony Forming Unit
CFV,Call For Vote
CGD,Chronic Granulomatous Disease; 만성 육아종 질환
c.gl.,correction with glasses
cGMP,cyclic Guanosine Mono-Phosphate
CGRP,Calcitonin Gene Related Peptide(Protein)
CGRPs,Calcitonin Gene-Related Products
CH50,Hemolytic Complement 50; 용혈 보체 검사법; (30)50 - (40)(66)80 Unit/mL
CHA,Common Hepatic Artery
CHAMOCA,"Cyclophosphamide, Hydroxyuria, Actinomycin-D, MTX, Folic Acid, Adriamycin"
CHARGE Associations,Coloboma\n  Heart disease\n  Atresia choanae\n  Retared growth & development or CNS anomalies\n  Genital anomalies &/or hypogonadism\n  Ear anomalies &/or deafness Associations
CHD,1) Congenital Heart Disease\n  2) Common Hepatic Duct
CHF,Congestive Heart Failure; 울혈성 심마비
CHOP,"Cyclophosphamide, Adriamycin, Vincristine, Prednisolone"
Chr,Chronic; 만성
CHS,1) Cholinesterae\n  2) Chediak-Higashi Syndrome
CI,1) Corporate Identity\n  2) Completed Infarction\n  3) Cardiac Index
CIC,Circulating Immune Complexes
CID,1) Carpal Instability Dissociative; 해리성 주근관절 불안정성\n  2) Cytomegalic Inclusion Disease
CIDP,Chronic Inflammatory Demyelinating Poly(radiculo)neuropathy
CIE,Counter(current) Immuno-Electrophoresis; 역면역 전기 영동법
CIN,Cervical Intraepithelial Neoplasia
CIND,Carpal Instability Nondissociative; 불해리성 주근관절 불안정성
CIS,Carcinoma In Situ
CISCA,"CISplastin, Cyclophosphamide, Adriamycin(=Doxorubicin)"
CK,1) Creatine Kinase\n  2) Creatinine Phosphokinase
Ck,Check; 조사
CK-MB,Creatine Kinase MB Fraction
CL,Capillary Loops
CLD,Chronic Lung Disease; 만성폐질환
CLH,Chronic Lobular Hepatitis
CLIP,Corticotropin-Like Intermediate Peptide
CLL,Chronic Lymphocytic Leukemia
CM,1) Chlor-aMphenicol\n  2) Chylo-Micron
cm,centimeter; 1/1000 meter
CMD,Cerebro-Macular Degeneration
CMF,"Cytoxan(or Cyclophosphamide), MTX, 5-FU"
CMG,Cysto-Metro-Gram; 방광내압곡선
CMI,1) Cornell Medical Index\n  2) Cell-Mediated Immunity
CML,Chronic Myelogenous Leukemia\n  * Lymphoid Blastic Crisis(- 1/3)시 치료는 ALL에 준해서\n  1. Vincristine\n  2. Prednisone\n  3. L-Asparaginase\n  4. Daunorubisin
CMML,Chronic Myelo-Monocytic Leukemia
CMO,Corticosteroid Methyl-Oxidase
CMOS,Complementary Metal Oxide Semiconductor
CMP,Cardio-Myo-Pathy
CMT,Cervical Mucous Test
CMV,1) Cyto-Megalo-Virus\n    Presents\n    1. Milk\n    2. Urine\n    3. Saliva\n    4. Feces\n    5. Semen\n    6. Cervical Discharge\n  2) Controlled Mechanical Ventilation
CN,Cranial Nerve
CNPV,Continuous Negative Pressure Ventilation
CNS,Central Nervous System; 중추신경계
CO2,Carbon Dioxide; 이산화탄소; 지구온난화
CoA,"Coarctation of Aorta\n  - Complications\n    1. Severe Hypertension\n    2. Cerebral Aneurysm & Hemorrhage\n    3. Rupture of Aorta\n    4. LV Failure\n    5. Infective Endocarditis\n    6. Paraplegia, Hemiplegia"
COD,1) Choice Of Drug\n  2) Cause Of Death\n  3) Chemical O2 Demand; KMnO4 or K2Cr2O2등의 산화제에 의하여 수중에 유기물및 산화성 물질의 양을 나타내는데 사용(COD > BOD)
COLD,Chronic Obstructive Lung Disease
COM,Chronic Otitis Media
COMT,Catechol-O-Methyl Transferase
COPD,Chronic Obstructive Pulmonary Disease; 만성 폐쇄성 폐질환
COWS,"Cold Opposite, Warm Same"
CP,Central Pool
Cp,Concentration of plasma; plasma의 농도
CP angle,Cerebello-Pontine angle
CPA,Chest Postero-Anterior
CPA tumor,Cerebello-Pontine Angle(소뇌교각부) tumor
CPAP,Continuous Positive Airway Pressure
CPB,Cardiopulmonary Bypass
CPBA,Competitive Protein Binding Assay
CPC,Clinico-Pathological Conference; 임상병리검토회
CPD,Cephalo-Pelvic Disproportion; 아두 골반 불균형
C-Peptide,Connecting Peptide
CPH,Chronic Persistent Hepatitis
CPIP,Chronic Pulmonary Insufficiency of Premature; 미숙아 만성 폐부전
CPK,"Creatinine Phospho-Kinase\n  < 25(60)(200)(240) Unit\n  증가하는 경우\n  1. AMI; MB Fraction증가; 1일에 최고치, 2 - 3일 지나면 정상화"
CPP,Cerebral Perfusion Pressure
CPPD,Calcium Pyro-Phosphate Dihydrate
CPPV,Continuous Positive Pressure Ventilation
CPR,Cardio-Pulmonary Resuscitation
CPS,Carbamyl Phosphate Synthetase
CPZ,Chloropromazine
CR,1) Complete Response\n  2) Close Reduction
Cr,Chromium
"Cr, cr",creatinine
C/R,Close Reduction
CR Length,Crown to Rump Length
CRAO,Central Retina Artery Occlusion
CREG,Cross REactive Group (of HLA Antigens)
CREST Syndrome,1. Calcinosis cutis\n  2. Raynaud\u0027s phenomenon\n  3. Esophageal dysfunction\n  4. Sclerodactyly\n  5. Telangiectasia Syndrome
CRF,1) Chronic Renal Failure\n  2) Corticotropin-Releasing Factor
CRH,Corticotropin Releasing Hormone
CRL,Crown-Rump Length
CRP,C-Reactive Protein; - 0.06 mg/dL
CRS,Chinese Restaurant Syndrome
CRST Syndrome,1. Calcinosis\n  2. Raynaud\u0027s Phenomenon\n  3. Sclerodactyly\n  4. Telangiectasia Syndrome
"CS, Cs",1) Cycloserine\n  2) Cesarean Section
CS2,이황화탄소
C/S,Cesarean Section
C-Section,Cesarean Section
CSA,1) Cell Surface Antigen\n  2) Central Sleep Apnea
CSF,1) Cerebro-Spinal Fluid; 뇌척수액\n  2) Colony Stimulating Factor
CSF-1,Macrophage Colony Stimulating Factor
CSII,Continuous Subcutaneous Insulin Infusion
CSM,1) Carotid Sinus Massage\n  2) Cerebro-Spinal Meningitis; 뇌척수막염
CSR,1) Cheyne-Stokes Respiration\n  2) Central Supply Room; 중앙공급실
CST,Contraction Stress Test
CT,1) Computed(Computer) Tomography(-gram); 컴퓨터 단층 촬영\n    = CAT\n  2) Cloting Time\n  3) Chronic Thyroiditis\n  4) Connective Tissue\n  5) Cholera Toxin
CTCL,Cutaneous T Cell Lymphoma
CTD,Connective Tissue Disease
CTH,Chronic Tension Headache
CTL,Cytotaxic T Lymphocyte
CTR,Cardio-Thoracic Ratio
CTx,Chemotherapy
CU,Clinical Unit
cu,cubic; 입방의
CV,1) Closing Volume\n  2) Cardio-Vascular; 심장혈관의
CVA,"1) Cardio-Vascular Accident(Attack)\n  2) Cerebro-Vascular Accident(Attack); 뇌졸증(중), 뇌혈관 손상\n    = CVD\n  3) Costo-Vertebral Angle"
CVB,Chorionic Villus Biopsy
CVD,"1)  Cerebro-Vascular Disease; 심장 혈관병(증)\n    = CVA\n    = Stroke; 중풍, 뇌졸증\n  2) Cardio-Vascular Disease; 심장혈관병(증)"
CVH,Chronic Viral Hepatitis
CVP,Central Venous Pressure
CVS,1) Cardio-Vascular System; 심장 혈관계\n  2) Chronic Villi Sampling; 융모막 채취
CWP,Coal Worker\u0027s Pneumoconiosis\n  = Black Lung
CWRS,Case Western Reserve University
Cx,1) Complication\n  2) Cervix(= Cervical); 경(頸)
CXR,Chest X-Ray
CZI,Crystalline Zinc Insulin
